#,Thermostat,identifier,314729020125
#,Thermostat,name,Main Floor
#,Start,date,2019-09-06
#,End,date,2019-09-13

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Basement (F),Basement2
2019-09-06,00:00:00,off,heatOff,,Sleep,80,56,72.9,39,73.4,0,0,0,,72.9,39,0,70.1,0,
2019-09-06,00:05:00,off,heatOff,,Sleep,80,56,72.8,39,73.4,0,0,0,,72.8,39,0,70.1,0,
2019-09-06,00:10:00,off,heatOff,,Sleep,80,56,72.7,39,73.4,0,0,0,,72.7,39,0,70.1,0,
2019-09-06,00:15:00,off,heatOff,,Sleep,80,56,72.6,39,73.4,0,0,0,,72.6,39,0,70.1,0,
2019-09-06,00:20:00,off,heatOff,,Sleep,80,56,72.5,40,73.4,0,0,0,,72.5,40,0,70.1,0,
2019-09-06,00:25:00,off,heatOff,,Sleep,80,56,72.4,40,73.4,0,0,0,,72.4,40,0,70.1,0,
2019-09-06,00:30:00,off,heatOff,,Sleep,80,56,72.3,40,72.9,0,0,0,,72.3,40,0,70.1,0,
2019-09-06,00:35:00,off,heatOff,,Sleep,80,56,72.3,40,72.9,0,0,0,,72.3,40,0,70.1,0,
2019-09-06,00:40:00,off,heatOff,,Sleep,80,56,72.2,40,72.9,0,0,0,,72.2,40,0,70.1,0,
2019-09-06,00:45:00,off,heatOff,,Sleep,80,56,72.2,40,72.9,0,0,0,,72.2,40,0,70.1,0,
2019-09-06,00:50:00,off,heatOff,,Sleep,80,56,72.1,40,72.9,0,0,0,,72.1,40,0,70,0,
2019-09-06,00:55:00,off,heatOff,,Sleep,80,56,72.1,40,72.9,0,0,0,,72.1,40,0,70,0,
2019-09-06,01:00:00,off,heatOff,,Sleep,80,56,72.1,40,71.4,0,0,0,,72.1,40,0,70,0,
2019-09-06,01:05:00,off,heatOff,,Sleep,80,56,72,40,71.4,0,0,0,,72,40,0,70.1,0,
2019-09-06,01:10:00,off,heatOff,,Sleep,80,56,72,40,71.4,0,0,0,,72,40,0,70,0,
2019-09-06,01:15:00,off,heatOff,,Sleep,80,56,71.9,40,71.4,0,0,0,,71.9,40,0,70,0,
2019-09-06,01:20:00,off,heatOff,,Sleep,80,56,71.8,40,71.4,0,0,0,,71.8,40,0,70,0,
2019-09-06,01:25:00,off,heatOff,,Sleep,80,56,71.8,42,71.4,0,0,0,,71.8,42,0,70.1,0,
2019-09-06,01:30:00,off,heatOff,,Sleep,80,56,71.8,42,70.1,0,0,0,,71.8,42,0,70.1,0,
2019-09-06,01:35:00,off,heatOff,,Sleep,80,56,71.8,42,70.1,0,0,0,,71.8,42,0,70,0,
2019-09-06,01:40:00,off,heatOff,,Sleep,80,56,71.8,42,70.1,0,0,0,,71.8,42,0,70,0,
